,MS
0,0.7433522252875155
1,0.6701791792997012
2,0.719073414536816
3,0.6568391634679349
4,0.7090093425316535
5,0.6692494634570917
6,0.6747333758652228
7,0.7203358850065436
8,0.7339301231196325
9,0.7159156820371771
10,0.658439892196349
11,0.7063553220529695
12,0.6804866913817034
13,0.6933448253372885
14,0.6996329312745996
15,0.6801273715314378
16,0.7025712993133618
17,0.6674599732506691
18,0.6610675982948404
19,0.6730949021945246
20,0.6925914519879884
21,0.6486180313392333
22,0.6983986603171282
23,0.6912672295172407
24,0.6479704502715754
25,0.645511512334791
26,0.723268593959124
27,0.6982416153021215
28,0.6783104321059374
29,0.6999936888161779
30,0.6668775880793103
31,0.6160164623116412
32,0.6648703433696381
33,0.6171005554114312
34,0.6925271258349883
35,0.6813971027731729
36,0.6900964671380116
37,0.6446427902199686
38,0.6163107380394075
39,0.7127724440752389
40,0.6510103406381321
41,0.676984343494401
42,0.7585775817869866
43,0.6709363195918188
44,0.6687383679456785
45,0.6435559730544995
46,0.6639659157886983
47,0.6650736073224067
48,0.6520803005755015
49,0.6869531439754466
