,MS
0,0.5614293244884331
1,0.48476505642945034
2,0.5263423810645314
3,0.5357805931601721
4,0.4519665535696176
5,0.5099059020844678
6,0.5016693533435772
7,0.47745548617849864
8,0.5338054590102536
9,0.5419655337791953
10,0.5291269178804925
11,0.4752912578426096
12,0.5069204098678307
13,0.46666408105700236
14,0.4551163154632924
15,0.5201386317130988
16,0.5169370234756817
17,0.4844597896578419
18,0.48242352340279643
19,0.47789153981462285
20,0.49260181987332585
21,0.4908423460756043
22,0.47946544275623887
23,0.497930904915123
24,0.5158954972545275
25,0.4925410849451771
26,0.48471649963599184
27,0.5657040445366204
28,0.47652810829945363
29,0.45349058632694605
30,0.4799744165757286
31,0.4661906468369216
32,0.5247673534356716
33,0.5075913576945876
34,0.4998989653057361
35,0.5307461176372186
36,0.51084342874373
37,0.485062921465102
38,0.47883883389048404
39,0.5113296530492304
40,0.4853185501137508
41,0.5453615291773202
42,0.5567018129040439
43,0.517962835351732
44,0.5208254405803235
45,0.5096567977501704
46,0.4922137799501185
47,0.43827234717450236
48,0.5047310180480868
49,0.49090809065991037
