,MS
0,0.47149155509813107
1,0.5296993069253358
2,0.4721703069298982
3,0.5492127831529275
4,0.6012714828469399
5,0.5217180509998919
6,0.5294341535130345
7,0.5632929846939998
8,0.6151445617931524
9,0.5931684163356579
10,0.5159934676209352
11,0.574426256936505
12,0.670208154889459
13,0.5414500205754326
14,0.48610495747173643
15,0.5610733488592387
16,0.5443674715828761
17,0.5735287134993089
18,0.5106362504245444
19,0.5569710169299253
20,0.514792795966102
21,0.5531465338927629
22,0.5854796945431608
23,0.6228243133240992
24,0.5474760822770103
25,0.5150478021658236
26,0.5303271049538232
27,0.6271317868520293
28,0.5749552828151014
29,0.5929188013405564
30,0.4907748974376015
31,0.5327014824594479
32,0.4580621923332545
33,0.5731599463623535
34,0.5603534810126581
35,0.514123886902929
36,0.5026652992139449
37,0.45853555981845184
38,0.5228759712729005
39,0.5819405057068932
40,0.5616271581227638
41,0.5570491306182104
42,0.48535684941528695
43,0.5804902253453462
44,0.5683156554603168
45,0.4869551559175891
46,0.480597017085334
47,0.5723331036118988
48,0.6269604473896355
49,0.49371406973837795
