,MS
0,0.5934951800757998
1,0.5558276585990863
2,0.5512054961514838
3,0.5722498610498521
4,0.6070371446882001
5,0.5585963228059619
6,0.5316392309207987
7,0.5976409443542278
8,0.5898121543180856
9,0.516978586952773
10,0.5416703432518348
11,0.5417566836116534
12,0.5420999451757027
13,0.5474206533240487
14,0.5298063017308108
15,0.5010503028027765
16,0.6003726319965225
17,0.51396516407828
18,0.5365679696129362
19,0.5348732681545498
20,0.5265654400314875
21,0.5114706452727804
22,0.5358857153955032
23,0.5666376504039841
24,0.5949154665627108
25,0.49994135154085784
26,0.5443023552093165
27,0.6099027075666007
28,0.595075643424505
29,0.51862329420182
30,0.548583995336323
31,0.5575271360046241
32,0.5136303708594664
33,0.5336209594996502
34,0.5726373016446278
35,0.5455925849534631
36,0.5833990545519636
37,0.5520164302700514
38,0.5485825915973738
39,0.5405995129428236
40,0.5552825780308595
41,0.5531909166318268
42,0.4949513472148754
43,0.5625148007047029
44,0.5301155436269188
45,0.5310175081467399
46,0.551135685858442
47,0.5324994391399429
48,0.6028941978381738
49,0.5515891968792788
