,MS
0,0.7712841412517726
1,0.7749203015852183
2,0.7784244934267742
3,0.7636670965660487
4,0.7746549050484217
5,0.7787975558449869
6,0.7551020213695063
7,0.7907703398224885
8,0.7609907460837839
9,0.7702442120129306
10,0.7841663367206999
11,0.779402121000552
12,0.7711587798652344
13,0.7800062100632026
14,0.7464167363947589
15,0.7641266194138431
16,0.7555863343270729
17,0.7764239631155448
18,0.7628298413767451
19,0.7744460603187628
20,0.7484706405007884
21,0.7778971553952814
22,0.7820797186934247
23,0.7681033126882479
24,0.7998816974330999
25,0.7839109879192004
26,0.7791621489762419
27,0.7871247546827447
28,0.7805827043501077
29,0.7556992380924902
30,0.7667860799553843
31,0.7769230305535368
32,0.7937808175120424
33,0.7817873367993624
34,0.793903355132374
35,0.7949554176103256
36,0.7740788306496971
37,0.778122888655993
38,0.750232638086024
39,0.7742906980443166
40,0.7755469579957588
41,0.7774753052318598
42,0.7724669218970092
43,0.7852293349024022
44,0.8220167667942856
45,0.7855195729817936
46,0.7597503395981522
47,0.7803449207707351
48,0.7822360386405158
49,0.7487231569790143
