,MS
0,0.4596946220063305
1,0.4724680708043917
2,0.5
3,0.5
4,0.5
5,0.4829681354762079
6,0.5
7,0.47095414756615595
8,0.4880385836659281
9,0.4697670770919928
10,0.5
11,0.46147887877325133
12,0.5
13,0.47615847306697134
14,0.4563334415112076
15,0.5043505382155565
16,0.49022601077947664
17,0.46522508993511225
18,0.4413884609762405
19,0.5
20,0.4838935417413114
21,0.4624802483386191
22,0.49329072530218443
23,0.4782197075794073
24,0.47554800119885304
25,0.4870131428269773
26,0.4848176593011593
27,0.4717891860413027
28,0.46426368499557014
29,0.47399207357060563
30,0.48422608822043883
31,0.4685534333722927
32,0.4699569612875748
33,0.48043512003446004
34,0.47335686670028576
35,0.47754904825044386
36,0.5
37,0.7053866628031763
38,0.4733192947870696
39,0.5340918332828466
40,0.4618508955959377
41,0.5
42,0.5
43,0.4667751216558525
44,0.5
45,0.4628472572138802
46,0.5
47,0.5361829692479553
48,0.4613704583127996
49,0.6825091042220792
